transaction_id,book_id,borrower_id,borrow_date,return_date
103,17,5,2025-05-03 00:00:00,2025-05-08 00:00:00
104,16,12,2025-07-08 00:00:00,2025-07-16 00:00:00
105,29,27,2024-10-16 00:00:00,2024-11-10 00:00:00
106,20,20,2024-06-25 00:00:00,2024-07-14 00:00:00
107,1,22,2024-10-05 00:00:00,2024-10-17 00:00:00
108,43,4,2025-12-09 00:00:00,2025-12-20 00:00:00
109,8,29,2026-01-06 00:00:00,2026-01-26 00:00:00
110,10,9,2025-07-11 00:00:00,2025-08-02 00:00:00
111,14,23,2026-03-28 00:00:00,
112,44,21,2026-04-07 00:00:00,
113,33,16,2026-04-08 00:00:00,
114,4,3,2026-03-17 00:00:00,
115,18,2,2026-05-10 00:00:00,
116,22,25,2026-04-24 00:00:00,
117,41,9,2026-04-20 00:00:00,
118,48,15,2026-03-01 00:00:00,
119,46,14,2026-02-28 00:00:00,
120,1,4,2026-05-01 00:00:00,
121,45,29,2026-04-21 00:00:00,
122,35,2,2026-03-24 00:00:00,
123,38,18,2026-04-22 00:00:00,
124,28,5,2026-05-05 00:00:00,
125,20,12,2026-05-05 00:00:00,
126,23,7,2026-04-09 00:00:00,
127,43,4,2026-03-26 00:00:00,
128,50,18,2026-03-19 00:00:00,
129,40,24,2026-04-21 00:00:00,
130,16,28,2026-04-20 00:00:00,
131,12,29,2026-03-19 00:00:00,
132,2,6,2026-03-29 00:00:00,
133,27,26,2026-04-09 00:00:00,
134,11,26,2026-04-27 00:00:00,
135,25,28,2026-05-06 00:00:00,
136,31,8,2026-04-15 00:00:00,
137,30,12,2026-04-01 00:00:00,
138,15,8,2026-05-07 00:00:00,
139,13,13,2026-03-29 00:00:00,
140,5,25,2026-04-05 00:00:00,
141,42,17,2026-03-20 00:00:00,
142,8,29,2026-04-07 00:00:00,
143,17,2,2026-04-27 00:00:00,
144,39,14,2026-03-27 00:00:00,
145,47,26,2026-03-31 00:00:00,
146,37,7,2026-04-08 00:00:00,
147,3,23,2026-03-16 00:00:00,
148,34,30,2026-03-03 00:00:00,
149,24,14,2026-05-23 00:00:00,
150,21,22,2026-05-23 00:00:00,
151,26,23,2026-05-20 00:00:00,
152,36,5,2026-05-21 00:00:00,
153,19,7,2026-05-18 00:00:00,
154,29,15,2026-05-14 00:00:00,
155,6,10,2026-05-16 00:00:00,
156,49,8,2026-05-14 00:00:00,
